marca,motor,observacoes,ano,combustivel,organization_id,cor,id,quilometragem,cliente_id,modelo,placa,created_date,updated_date,created_by_id,created_by,is_sample
"ETORQ 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","694014a0e8213c1bcaeaf557","","","","","2025-12-15T14:01:04.273000","2026-02-16T16:55:56.263000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CLIO 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","694014894eed33d39c8ee92e","","","","","2025-12-15T14:00:41.575000","2026-02-16T16:55:56.276000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SCENIC 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","6940147538f0ec173363b6d8","","","","","2025-12-15T14:00:21.156000","2026-02-16T16:55:56.270000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIASA NACIONAL 8V","","","","flex","69864e74fb6fe137d3577c07","","69401468a5ddae2804538159","","","","","2025-12-15T14:00:08.077000","2026-02-16T16:55:56.348000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CORSA 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","6940145726cfe9a69a0dd966","","","","","2025-12-15T13:59:51.826000","2026-02-16T16:55:56.238000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CHT 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","69401430116767e6c409e436","","","","","2025-12-15T13:59:12.109000","2026-02-16T16:55:56.264000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"MONZA 1.8 8V","","","","flex","69864e74fb6fe137d3577c07","","69401418ab11108f41d0d6b8","","","","","2025-12-15T13:58:48.062000","2026-02-16T16:55:56.284000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PICASSO 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","69401403e98753fee9bab193","","","","","2025-12-15T13:58:27.359000","2026-02-16T16:55:56.288000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"KA 1.0 3C","","","","flex","69864e74fb6fe137d3577c07","","694013ea034580321be7adcf","","","","","2025-12-15T13:58:02.530000","2026-02-16T16:55:56.289000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SANDERO 1.0 3C","","","","flex","69864e74fb6fe137d3577c07","","694013d7f00de0622855c05a","","","","","2025-12-15T13:57:43.340000","2026-02-16T16:55:56.276000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"HB20 1.0 3C","","","","flex","69864e74fb6fe137d3577c07","","694013c37071c259c6c5e106","","","","","2025-12-15T13:57:23.973000","2026-02-16T16:56:08.832000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FOCUS 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694013b02dba914918f6efb0","","","","","2025-12-15T13:57:04.902000","2026-02-16T16:56:08.820000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"TUCSON 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694013a251e1b11293990ba5","","","","","2025-12-15T13:56:50.261000","2026-02-16T16:56:09.072000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"THP 2.0 16V TURBO","","","","flex","69864e74fb6fe137d3577c07","","6940138767a829ac73a3ec4e","","","","","2025-12-15T13:56:23.643000","2026-02-16T16:56:08.779000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"GOL 1.0 16V POWER","","","","flex","69864e74fb6fe137d3577c07","","6940135fc247e717db6b7bf1","","","","","2025-12-15T13:55:43.093000","2026-02-16T16:56:08.776000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"TRACKER 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","6940134e653dee4200dbcb0b","","","","","2025-12-15T13:55:26.977000","2026-02-16T16:56:08.781000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CRUZE ECOTEC 1.8 16V","","","","flex","69864e74fb6fe137d3577c07","","6940132cb3ffd0564c5244a3","","","","","2025-12-15T13:54:52.837000","2026-02-16T16:56:08.791000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"TR4 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694012ed0b906cfe0a63540a","","","","","2025-12-15T13:53:49.452000","2026-02-16T16:56:08.786000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ZETEC 1.6 8V GAS ","","","","flex","69864e74fb6fe137d3577c07","","694012a842308c926270856e","","","","","2025-12-15T13:52:40.677000","2026-02-16T16:56:08.769000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"OPALA 4C","","","","flex","69864e74fb6fe137d3577c07","","694012961718e72725dbf596","","","","","2025-12-15T13:52:22.830000","2026-02-16T16:56:08.756000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CLIO 1.6 8V","","","","flex","69864e74fb6fe137d3577c07","","694012833f97541ea94ad43e","","","","","2025-12-15T13:52:03.552000","2026-02-16T16:56:08.753000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CITROEN 1.5 8V","","","","flex","69864e74fb6fe137d3577c07","","69401278f47549bd58803c45","","","","","2025-12-15T13:51:52.433000","2026-02-16T16:56:08.805000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SCENIC 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","6940126beab65f2d52461b61","","","","","2025-12-15T13:51:39.545000","2026-02-16T16:56:08.753000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIRE 1.4 8V ","","","","flex","69864e74fb6fe137d3577c07","","6940124b4ee19abee71b8225","","","","","2025-12-15T13:51:07.906000","2026-02-16T16:56:08.765000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"MOBI 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","6940123ef9cc10cf8f4bdcce","","","","","2025-12-15T13:50:54.242000","2026-02-16T16:56:08.779000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP 800 HIDRAULICO","","","","flex","69864e74fb6fe137d3577c07","","694012283b681945bb58ac23","","","","","2025-12-15T13:50:32.197000","2026-02-16T16:56:08.757000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"VECTRA / MONZA 2.0 8V","","","","flex","69864e74fb6fe137d3577c07","","69401214bb94b9a9eded756d","","","","","2025-12-15T13:50:12.472000","2026-02-16T16:56:08.775000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"KA DRAGON 4C ","","","","flex","69864e74fb6fe137d3577c07","","694011f8a1e5d1a562a14d89","","","","","2025-12-15T13:49:44.605000","2026-02-16T16:56:08.784000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PICASSO 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694011d87713f2093dc36198","","","","","2025-12-15T13:49:12.004000","2026-02-16T16:56:08.756000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIAT ARGENTINO 1.6 8V","","","","flex","69864e74fb6fe137d3577c07","","694011c95aff4694433ab8f8","","","","","2025-12-15T13:48:57.862000","2026-02-16T16:56:08.751000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PEUGEOT 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694011bde33d8625396b165b","","","","","2025-12-15T13:48:45.081000","2026-02-16T16:56:28.040000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ETORQ 1.8 16V","","","","flex","69864e74fb6fe137d3577c07","","694011a87dac5ad71ed09a93","","","","","2025-12-15T13:48:24.626000","2026-02-16T16:56:28.271000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CIVIC 1.7 16V ","","","","flex","69864e74fb6fe137d3577c07","","69401198545979e71611808d","","","","","2025-12-15T13:48:08.502000","2026-02-16T16:56:28.069000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CIVIC 1.8 16V","","","","flex","69864e74fb6fe137d3577c07","","694010ea258952f8583e15d2","","","","","2025-12-15T13:45:14.553000","2026-02-16T16:56:28.040000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CAPTIVA 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694010634bbbbaeb5e44519e","","","","","2025-12-15T13:42:59.417000","2026-02-16T16:56:28.034000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CORSA 1.O 16V","","","","flex","69864e74fb6fe137d3577c07","","694010537c19261328c85c0d","","","","","2025-12-15T13:42:43.383000","2026-02-16T16:56:28.371000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"VECTRA 2.4 16V","","","","flex","69864e74fb6fe137d3577c07","","69401043e6965cf2d92c2dcb","","","","","2025-12-15T13:42:27.522000","2026-02-16T16:56:28.278000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"VECTRA 2.2 16V","","","","flex","69864e74fb6fe137d3577c07","","69401039a5cfb373d53d620a","","","","","2025-12-15T13:42:17.126000","2026-02-16T16:56:28.261000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"VECTRA 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","6940102e5f1bdf5f7242004e","","","","","2025-12-15T13:42:06.182000","2026-02-16T16:56:28.077000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ENDURA 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","6940101084ed09a293d3baf3","","","","","2025-12-15T13:41:36.420000","2026-02-16T16:56:28.132000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CIVIC 2.0 16V ","","","","flex","69864e74fb6fe137d3577c07","","69400ffd046dd448167f15a2","","","","","2025-12-15T13:41:17.667000","2026-02-16T16:56:28.035000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"EVOQUE 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400fe773f5a5aa0c8ce755","","","","","2025-12-15T13:40:55.356000","2026-02-16T16:56:28.038000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SORENTO 2.5 DIESEL","","","","flex","69864e74fb6fe137d3577c07","","69400f88b50fc60547b5eede","","","","","2025-12-15T13:39:20.783000","2026-02-16T16:56:28.051000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ELANTRA 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400f68784d7f59f8b5dde8","","","","","2025-12-15T13:38:48.805000","2026-02-16T16:56:28.063000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SPORTAGE 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400f5a2a824b6febefc782","","","","","2025-12-15T13:38:34.958000","2026-02-16T16:56:28.038000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"MAZDA 2.0 / 2.2","","","","flex","69864e74fb6fe137d3577c07","","69400f28450b412ce8b5dfef","","","","","2025-12-15T13:37:44.669000","2026-02-16T16:56:28.059000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ECOTEC 2.5 16V","","","","flex","69864e74fb6fe137d3577c07","","69400f033b6386af7e3a8868","","","","","2025-12-15T13:37:07.333000","2026-02-16T16:56:28.052000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP 600 HIDRAULICO ","","","","flex","69864e74fb6fe137d3577c07","","69400edce7c2c9cc185e06ac","","","","","2025-12-15T13:36:28.938000","2026-02-16T16:56:28.054000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP 2.0 HIDRAULICO","","","","flex","69864e74fb6fe137d3577c07","","69400ecd0bfbbbf3f536447f","","","","","2025-12-15T13:36:13.331000","2026-02-16T16:56:28.027000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ZETEC 1.0 8V GAS","","","","flex","69864e74fb6fe137d3577c07","","69400eb15e7165be91557df9","","","","","2025-12-15T13:35:45.315000","2026-02-16T16:56:28.069000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"HB20 1.6 4C","","","","flex","69864e74fb6fe137d3577c07","","69400e8245a9d27a00be20c4","","","","","2025-12-15T13:34:58.807000","2026-02-16T16:57:17.985000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CERATO 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","69400e71bcf44b8a7b907ee1","","","","","2025-12-15T13:34:41.159000","2026-02-16T16:57:17.941000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CHT 1.6 8V","","","","flex","69864e74fb6fe137d3577c07","","69400e5241275fb2a1017507","","","","","2025-12-15T13:34:10.264000","2026-02-16T16:57:17.944000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"COROLLA ANTIGO 16V","","","","flex","69864e74fb6fe137d3577c07","","69400e40bfcda68a13811af9","","","","","2025-12-15T13:33:52.548000","2026-02-16T16:57:17.964000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CLIO 1.0 16V FLEX","","","","flex","69864e74fb6fe137d3577c07","","69400e2f61b6f525d8f29583","","","","","2025-12-15T13:33:35.621000","2026-02-16T16:57:17.965000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"TSI 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400e165c08f56d9e751256","","","","","2025-12-15T13:33:10.805000","2026-02-16T16:57:17.997000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SENTRA 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","69400e09e86d1775b17f0d9a","","","","","2025-12-15T13:32:57.815000","2026-02-16T16:57:17.950000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SENTRA 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400df85c08f56d9e751240","","","","","2025-12-15T13:32:40.956000","2026-02-16T16:57:17.948000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIT 1.4 8V","","","","flex","69864e74fb6fe137d3577c07","","69400dea59fd0eb425804d5d","","","","","2025-12-15T13:32:26.424000","2026-02-16T16:57:17.934000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"L200 2,5 8V","","","","flex","69864e74fb6fe137d3577c07","","69400ddb10010192ad208eee","","","","","2025-12-15T13:32:11.310000","2026-02-16T16:57:17.941000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP 2.0 8V","","","","flex","69864e74fb6fe137d3577c07","","69400dcd0462fa725b939b3e","","","","","2025-12-15T13:31:57.156000","2026-02-16T16:57:17.966000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400dbaf699f9a9803597a9","","","","","2025-12-15T13:31:38.867000","2026-02-16T16:57:17.980000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
" UP 1.0 3C","","","","flex","69864e74fb6fe137d3577c07","","69400da5bb94b9a9eded68c7","","","","","2025-12-15T13:31:17.041000","2026-02-16T16:57:17.975000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SCENIC 2.0 8V","","","","flex","69864e74fb6fe137d3577c07","","69400d7a0484300117e7fad8","","","","","2025-12-15T13:30:34.821000","2026-02-16T16:57:17.956000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DRAGON 3C","","","","flex","69864e74fb6fe137d3577c07","","69400d6533edfe4f64d37f4e","","","","","2025-12-15T13:30:13.947000","2026-02-16T16:57:18.032000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"HR 2.5 16V DIESEL","","","","flex","69864e74fb6fe137d3577c07","","69400d56fea90a48e43300a4","","","","","2025-12-15T13:29:58.513000","2026-02-16T16:57:17.966000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"HILUX 3.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400d495c08f56d9e75115a","","","","","2025-12-15T13:29:45.797000","2026-02-16T16:57:17.935000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SORENTO 2.4 16V","","","","flex","69864e74fb6fe137d3577c07","","69400d3a5aff4694433ab049","","","","","2025-12-15T13:29:30.398000","2026-02-16T16:57:17.946000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SONATA 2.4 16V ","","","","flex","69864e74fb6fe137d3577c07","","69400d25694dca173d1ce53e","","","","","2025-12-15T13:29:09.042000","2026-02-16T16:57:17.972000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIRE 1.0 16V ","","","","flex","69864e74fb6fe137d3577c07","","69400cde4b2d533d22580f85","","","","","2025-12-15T13:27:58.449000","2026-02-16T16:57:17.968000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIRE 1.0 8V 7MM","","","","flex","69864e74fb6fe137d3577c07","","69400cc6341b8b0e24cfc3ac","","","","","2025-12-15T13:27:34.943000","2026-02-16T16:57:28.911000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CORSA 1.6 16V ","","","","flex","69864e74fb6fe137d3577c07","","69400cb6b698d760fa94bdc2","","","","","2025-12-15T13:27:18.920000","2026-02-16T16:57:28.915000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ZETEC 1.6 8V FLEX","","","","flex","69864e74fb6fe137d3577c07","","69400c9c72f889bc2c5c19f2","","","","","2025-12-15T13:26:52.178000","2026-02-16T16:57:29.783000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"ZETEC 1.0 8V FLEX","","","","flex","69864e74fb6fe137d3577c07","","69400c4fe6915f62faa4442a","","","","","2025-12-15T13:25:35.813000","2026-02-16T16:57:28.899000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FOCUS 1.8 16V","","","","flex","69864e74fb6fe137d3577c07","","69400c3deab65f2d52461283","","","","","2025-12-15T13:25:17.176000","2026-02-16T16:57:28.919000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIRE 1.0 8V 5MM ","","","","flex","69864e74fb6fe137d3577c07","","69400c2c20d4231b790cfd60","","","","","2025-12-15T13:25:00.868000","2026-02-16T16:57:28.952000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"EVO 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","69400c11784d7f59f8b5db25","","","","","2025-12-15T13:24:33.175000","2026-02-16T16:57:28.898000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"EVO 1.4 8V","","","","flex","69864e74fb6fe137d3577c07","","69400c00dea44f362c707d43","","","","","2025-12-15T13:24:16.341000","2026-02-16T16:57:28.889000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PEUGEOT 1.4 8V","","","","flex","69864e74fb6fe137d3577c07","","69400bea9f69fca5a1bb44fc","","","","","2025-12-15T13:23:54.459000","2026-02-16T16:57:28.925000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"MAREA 20V","","","","flex","69864e74fb6fe137d3577c07","","69400bd710010192ad208aff","","","","","2025-12-15T13:23:35.098000","2026-02-16T16:57:28.926000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"VOLKS AR","","","","flex","69864e74fb6fe137d3577c07","","69400bc548d4f9f46c71eb1c","","","","","2025-12-15T13:23:17.606000","2026-02-16T16:57:28.922000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CORSA 1.8 8V","","","","flex","69864e74fb6fe137d3577c07","","69400bab58fb6737a1105223","","","","","2025-12-15T13:22:51.171000","2026-02-16T16:57:28.918000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CORSA 1.4 8V","","","","flex","69864e74fb6fe137d3577c07","","69400b975aff4694433aad3b","","","","","2025-12-15T13:22:31.633000","2026-02-16T16:57:28.910000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CABEÇOTE CAPTIVA 2.4 16V ","","","","flex","69864e74fb6fe137d3577c07","","69400b8048d4f9f46c71eb00","","","","","2025-12-15T13:22:08.402000","2026-02-16T16:57:28.928000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIRE 1.3 8V","","","","flex","69864e74fb6fe137d3577c07","","69400b6ba5cfb373d53d5f00","","","","","2025-12-15T13:21:47.547000","2026-02-16T16:57:28.908000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DURATEC 2.0 16V","","","","flex","69864e74fb6fe137d3577c07","","69400b028b658ab84e96abc3","","","","","2025-12-15T13:20:02.563000","2026-02-16T16:57:28.944000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DURATEC 2.5 16V","","","","flex","69864e74fb6fe137d3577c07","","69400aed4ee19abee71b789b","","","","","2025-12-15T13:19:41.707000","2026-02-16T16:57:28.914000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"DURATEC 2.3 16V","","","","flex","69864e74fb6fe137d3577c07","","69400ada450b412ce8b5dc9b","","","","","2025-12-15T13:19:22.618000","2026-02-16T16:57:28.958000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP800","","","","flex","69864e74fb6fe137d3577c07","","69400aa2e557c49fbc587a5c","","","","","2025-12-15T13:18:26.716000","2026-02-16T16:57:28.923000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AP600","","","","flex","69864e74fb6fe137d3577c07","","69400a94f715c3b485c4f2c3","","","","","2025-12-15T13:18:12.905000","2026-02-16T16:57:28.925000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"COROLLA 1.8 16V","","","","flex","69864e74fb6fe137d3577c07","","69400a6572f889bc2c5c18c2","","","","","2025-12-15T13:17:25.162000","2026-02-16T16:57:36.828000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SIGMA 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","69400a4c8fd3e48af186fd12","","","","","2025-12-15T13:17:00.353000","2026-02-16T16:57:36.825000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"SIGMA 1.5 16V","","","","flex","69864e74fb6fe137d3577c07","","69400a2e459ea2bbdbdc7acb","","","","","2025-12-15T13:16:30.206000","2026-02-16T16:57:36.856000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"POWER 1.4 8V (KOMBI1.4)","","","0","flex","69864e74fb6fe137d3577c07","","69400a1c648a0dcb8c7991c5","0","","","","2025-12-15T13:16:12.133000","2026-02-16T16:57:36.854000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"POWER 1.0 8V","","","0","flex","69864e74fb6fe137d3577c07","","693c4bbf7ac3324891203cbf","0","6939e091ec0eb4b293620755","","","2025-12-12T17:07:11.101000","2026-02-16T16:57:36.887000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"POWER 1.6 8V","","","0","flex","69864e74fb6fe137d3577c07","","693c4b263bba40356b8bb773","0","6939e091ec0eb4b293620755","","","2025-12-12T17:04:38.718000","2026-02-16T16:57:36.877000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"RENAULT","1.0","","2016","flex","69864ce67137a313e5c26d4d","BRANCO","692ed03722344c0530a69677","136879","68c2d655ebd05836887abe16","SANDERO AUTH","PWN-3G14","2025-12-02T11:40:39.532000","2026-02-16T16:55:23.542000","68c06e22e3b7015582db9328","contato@loker.com.br","false"
"FIAT","2.3","","2014","diesel","69864ce67137a313e5c26d4d","BRANCO","6928aab1e77f191d25262dba","135976","6928aa58135308f026bb8bb7","DUCATO","IWB-0J82","2025-11-27T19:46:57.099000","2026-02-16T16:55:23.505000","68c06e22e3b7015582db9328","contato@loker.com.br","false"
