code,updated_at,resource,action_type,name,description,created_at,id,created_date,updated_date,created_by_id,created_by,is_sample
"consultation.view","","consultation","read","Visualizar Consultorias","Visualizar histórico de consultorias","","6986527930417ef399f6afc2","2026-02-06T20:43:37.085000","2026-02-06T21:19:25.886000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.cancel","","orders","update","Cancelar Ordens de Serviço","Cancelar ordens de serviço","","6986527930417ef399f6af69","2026-02-06T20:43:37.084000","2026-02-06T21:12:32.617000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"products.create","","products","create","Criar Produtos","Criar novos produtos","","6986527930417ef399f6af6a","2026-02-06T20:43:37.084000","2026-02-06T21:12:34.643000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"products.read","","products","read","Visualizar Produtos","Visualizar lista e detalhes de produtos","","6986527930417ef399f6af6b","2026-02-06T20:43:37.084000","2026-02-06T21:12:28.774000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"products.update","","products","update","Atualizar Produtos","Editar informações de produtos","","6986527930417ef399f6af6c","2026-02-06T20:43:37.084000","2026-02-06T21:12:25.309000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"products.delete","","products","delete","Excluir Produtos","Excluir produtos","","6986527930417ef399f6af6d","2026-02-06T20:43:37.084000","2026-02-06T21:12:24.016000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"inventory.create","","inventory","create","Criar Itens de Estoque","Criar novos itens de estoque","","6986527930417ef399f6af6f","2026-02-06T20:43:37.084000","2026-02-06T21:13:10.560000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"inventory.read","","inventory","read","Visualizar Estoque","Visualizar lista de estoque e níveis de inventário","","6986527930417ef399f6af70","2026-02-06T20:43:37.084000","2026-02-06T21:13:11.689000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"inventory.update","","inventory","update","Atualizar Estoque","Editar itens de estoque e quantidades","","6986527930417ef399f6af71","2026-02-06T20:43:37.084000","2026-02-06T21:13:09.117000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"inventory.delete","","inventory","delete","Excluir Itens de Estoque","Excluir itens de estoque","","6986527930417ef399f6af72","2026-02-06T20:43:37.084000","2026-02-06T21:13:07.819000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"inventory.adjust","","inventory","update","Ajustar Estoque","Ajustar quantidades de estoque","","6986527930417ef399f6af74","2026-02-06T20:43:37.084000","2026-02-06T21:13:04.553000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"suppliers.create","","suppliers","create","Criar Fornecedores","Criar novos fornecedores","","6986527930417ef399f6af75","2026-02-06T20:43:37.084000","2026-02-06T21:13:03.255000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"suppliers.read","","suppliers","read","Visualizar Fornecedores","Visualizar lista e detalhes de fornecedores","","6986527930417ef399f6af76","2026-02-06T20:43:37.084000","2026-02-06T21:13:01.705000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"suppliers.update","","suppliers","update","Atualizar Fornecedores","Editar informações de fornecedores","","6986527930417ef399f6af77","2026-02-06T20:43:37.084000","2026-02-06T21:13:00.442000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"suppliers.delete","","suppliers","delete","Excluir Fornecedores","Excluir fornecedores","","6986527930417ef399f6af78","2026-02-06T20:43:37.084000","2026-02-06T21:13:43.204000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"purchases.create","","purchases","create","Criar Compras","Criar novas ordens de compra","","6986527930417ef399f6af7a","2026-02-06T20:43:37.084000","2026-02-06T21:13:40.128000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"purchases.read","","purchases","read","Visualizar Compras","Visualizar lista e detalhes de compras","","6986527930417ef399f6af7b","2026-02-06T20:43:37.084000","2026-02-06T21:13:37.822000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"purchases.update","","purchases","update","Atualizar Compras","Editar ordens de compra","","6986527930417ef399f6af7c","2026-02-06T20:43:37.084000","2026-02-06T21:13:36.466000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"purchases.delete","","purchases","delete","Excluir Compras","Excluir ordens de compra","","6986527930417ef399f6af7d","2026-02-06T20:43:37.084000","2026-02-06T21:13:34.591000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"purchases.authorize","","purchases","update","Autorizar Compras","Autorizar solicitações de compra","","6986527930417ef399f6af7f","2026-02-06T20:43:37.084000","2026-02-06T21:13:30.247000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"returns.create","","returns","create","Criar Devoluções","Criar novos registros de devolução","","6986527930417ef399f6af80","2026-02-06T20:43:37.084000","2026-02-06T21:13:32.971000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"returns.read","","returns","read","Visualizar Devoluções","Visualizar lista e detalhes de devoluções","","6986527930417ef399f6af81","2026-02-06T20:43:37.084000","2026-02-06T21:13:28.857000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"returns.update","","returns","update","Atualizar Devoluções","Editar registros de devolução","","6986527930417ef399f6af82","2026-02-06T20:43:37.084000","2026-02-06T21:14:13.445000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"returns.delete","","returns","delete","Excluir Devoluções","Excluir registros de devolução","","6986527930417ef399f6af83","2026-02-06T20:43:37.084000","2026-02-06T21:14:09.817000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"financial.create","","financial","create","Criar Registros Financeiros","Criar novos registros financeiros","","6986527930417ef399f6af85","2026-02-06T20:43:37.084000","2026-02-06T21:14:07.112000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"financial.read","","financial","read","Visualizar Financeiro","Visualizar registros e relatórios financeiros","","6986527930417ef399f6af86","2026-02-06T20:43:37.084000","2026-02-06T21:14:08.305000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"financial.update","","financial","update","Atualizar Registros Financeiros","Editar registros financeiros","","6986527930417ef399f6af87","2026-02-06T20:43:37.084000","2026-02-06T21:14:04.373000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"financial.delete","","financial","delete","Excluir Registros Financeiros","Excluir registros financeiros","","6986527930417ef399f6af88","2026-02-06T20:43:37.084000","2026-02-06T21:14:05.795000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"bank_accounts.create","","bank_accounts","create","Criar Contas Bancárias","Criar novas contas bancárias","","6986527930417ef399f6af8a","2026-02-06T20:43:37.084000","2026-02-06T21:14:03.259000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"bank_accounts.read","","bank_accounts","read","Visualizar Contas Bancárias","Visualizar lista e detalhes de contas bancárias","","6986527930417ef399f6af8b","2026-02-06T20:43:37.084000","2026-02-06T21:14:00.624000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"bank_accounts.update","","bank_accounts","update","Atualizar Contas Bancárias","Editar informações de contas bancárias","","6986527930417ef399f6af8c","2026-02-06T20:43:37.084000","2026-02-06T21:15:23.712000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"bank_accounts.delete","","bank_accounts","delete","Excluir Contas Bancárias","Excluir contas bancárias","","6986527930417ef399f6af8d","2026-02-06T20:43:37.084000","2026-02-06T21:15:21.506000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"appointments.create","","appointments","create","Criar Agendamentos","Criar novos agendamentos","","6986527930417ef399f6af8f","2026-02-06T20:43:37.084000","2026-02-06T21:15:16.806000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"appointments.read","","appointments","read","Visualizar Agendamentos","Visualizar lista e detalhes de agendamentos","","6986527930417ef399f6af90","2026-02-06T20:43:37.084000","2026-02-06T21:15:15.077000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"appointments.update","","appointments","update","Atualizar Agendamentos","Editar agendamentos","","6986527930417ef399f6af91","2026-02-06T20:43:37.084000","2026-02-06T21:15:13.933000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"appointments.delete","","appointments","delete","Excluir Agendamentos","Excluir agendamentos","","6986527930417ef399f6af92","2026-02-06T20:43:37.084000","2026-02-06T21:15:11.931000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"employees.create","","employees","create","Criar Funcionários","Criar novos registros de funcionários","","6986527930417ef399f6af94","2026-02-06T20:43:37.084000","2026-02-06T21:15:10.612000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"employees.read","","employees","read","Visualizar Funcionários","Visualizar lista e detalhes de funcionários","","6986527930417ef399f6af95","2026-02-06T20:43:37.084000","2026-02-06T21:15:08.002000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"employees.update","","employees","update","Atualizar Funcionários","Editar informações de funcionários","","6986527930417ef399f6af96","2026-02-06T20:43:37.084000","2026-02-06T21:15:58.763000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"employees.delete","","employees","delete","Excluir Funcionários","Excluir registros de funcionários","","6986527930417ef399f6af97","2026-02-06T20:43:37.084000","2026-02-06T21:15:57.257000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.view","","reports","read","Visualizar Relatórios","Visualizar todos os relatórios","","6986527930417ef399f6af99","2026-02-06T20:43:37.084000","2026-02-06T21:15:53.341000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.customers","","reports","read","Visualizar Relatórios de Clientes","Visualizar relatórios relacionados a clientes","","6986527930417ef399f6af9a","2026-02-06T20:43:37.084000","2026-02-06T21:15:51.856000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.financial","","reports","read","Visualizar Relatórios Financeiros","Visualizar relatórios financeiros","","6986527930417ef399f6af9b","2026-02-06T20:43:37.084000","2026-02-06T21:15:49.360000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.commissions","","reports","read","Visualizar Relatórios de Comissões","Visualizar relatórios de comissões","","6986527930417ef399f6af9c","2026-02-06T20:43:37.084000","2026-02-06T21:15:50.480000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.sales","","reports","read","Visualizar Relatórios de Vendas","Visualizar relatórios de vendas","","6986527930417ef399f6af9d","2026-02-06T20:43:37.084000","2026-02-06T21:15:48.029000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.purchases","","reports","read","Visualizar Relatórios de Compras","Visualizar relatórios de compras","","6986527930417ef399f6af9e","2026-02-06T20:43:37.084000","2026-02-06T21:15:43.301000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.costs","","reports","read","Visualizar Relatórios de Custos","Visualizar relatórios de custos","","6986527930417ef399f6af9f","2026-02-06T20:43:37.084000","2026-02-06T21:15:41.808000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.debtors","","reports","read","Visualizar Relatórios de Devedores","Visualizar relatórios de devedores","","6986527930417ef399f6afa0","2026-02-06T20:43:37.084000","2026-02-06T21:16:40.677000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.suppliers","","reports","read","Visualizar Relatórios de Fornecedores","Visualizar relatórios de fornecedores","","6986527930417ef399f6afa1","2026-02-06T20:43:37.084000","2026-02-06T21:16:39.748000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"reports.profit","","reports","read","Visualizar Relatórios de Lucro","Visualizar relatórios de lucro","","6986527930417ef399f6afa2","2026-02-06T20:43:37.084000","2026-02-06T21:16:37.019000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"settings.view","","settings","read","Visualizar Configurações","Visualizar configurações do sistema","","6986527930417ef399f6afa3","2026-02-06T20:43:37.084000","2026-02-06T21:16:33.934000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"settings.update","","settings","update","Atualizar Configurações","Modificar configurações do sistema","","6986527930417ef399f6afa4","2026-02-06T20:43:37.084000","2026-02-06T21:16:31.611000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"organization.view","","organization","read","Visualizar Organização","Visualizar detalhes da organização","","6986527930417ef399f6afa6","2026-02-06T20:43:37.084000","2026-02-06T21:21:32.783000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"organization.update","","organization","update","Update Organization","Edit organization information","","6986527930417ef399f6afa7","2026-02-06T20:43:37.084000","2026-02-06T20:43:37.084000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"members.view","","members","read","Visualizar Membros","Visualizar membros da organização","","6986527930417ef399f6afa9","2026-02-06T20:43:37.084000","2026-02-06T21:21:29.011000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"members.invite","","members","create","Convidar Membros","Convidar novos membros para a organização","","6986527930417ef399f6afaa","2026-02-06T20:43:37.084000","2026-02-06T21:21:27.790000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"members.update","","members","update","Atualizar Membros","Editar informações de membros","","6986527930417ef399f6afab","2026-02-06T20:43:37.084000","2026-02-06T21:22:12.940000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"members.remove","","members","delete","Remover Membros","Remover membros da organização","","6986527930417ef399f6afac","2026-02-06T20:43:37.084000","2026-02-06T21:22:11.376000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"roles.view","","roles","read","View Roles","View roles and permissions","","6986527930417ef399f6afae","2026-02-06T20:43:37.084000","2026-02-06T20:43:37.084000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"roles.create","","roles","create","Criar Papéis","Criar novos papéis","","6986527930417ef399f6afaf","2026-02-06T20:43:37.084000","2026-02-06T21:21:45.141000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"roles.update","","roles","update","Atualizar Papéis","Editar papéis e permissões","","6986527930417ef399f6afb0","2026-02-06T20:43:37.084000","2026-02-06T21:21:43.473000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"roles.delete","","roles","delete","Excluir Papéis","Excluir papéis","","6986527930417ef399f6afb1","2026-02-06T20:43:37.084000","2026-02-06T21:21:41.957000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"subscription.view","","subscription","read","Visualizar Assinatura","Visualizar detalhes da assinatura","","6986527930417ef399f6afb3","2026-02-06T20:43:37.084000","2026-02-06T21:21:38.357000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"taxes.view","","taxes","read","View Taxes","View tax settings and information","","6986527930417ef399f6afb5","2026-02-06T20:43:37.084000","2026-02-06T20:43:37.084000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"taxes.update","","taxes","update","Update Taxes","Edit tax settings","","6986527930417ef399f6afb6","2026-02-06T20:43:37.084000","2026-02-06T20:43:37.084000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"customers.create","","customers","create","Criar Clientes","Criar novos clientes","","6986527930417ef399f6af59","2026-02-06T20:43:37.083000","2026-02-06T21:11:12.677000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"customers.read","","customers","read","Visualizar Clientes","Visualizar lista e detalhes de clientes","","6986527930417ef399f6af5a","2026-02-06T20:43:37.083000","2026-02-06T21:11:14.240000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"customers.update","","customers","update","Atualizar Clientes","Editar informações de clientes","","6986527930417ef399f6af5b","2026-02-06T20:43:37.083000","2026-02-06T21:11:15.663000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"customers.delete","","customers","delete","Excluir Clientes","Excluir clientes","","6986527930417ef399f6af5c","2026-02-06T20:43:37.083000","2026-02-06T21:11:18.152000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"vehicles.create","","vehicles","create","Criar Veículos","Criar novos veículos","","6986527930417ef399f6af5e","2026-02-06T20:43:37.083000","2026-02-06T21:11:21.041000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"vehicles.read","","vehicles","read","Visualizar Veículos","Visualizar lista e detalhes de veículos","","6986527930417ef399f6af5f","2026-02-06T20:43:37.083000","2026-02-06T21:11:23.401000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"vehicles.update","","vehicles","update","Atualizar Veículos","Editar informações de veículos","","6986527930417ef399f6af60","2026-02-06T20:43:37.083000","2026-02-06T21:11:25.810000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"vehicles.delete","","vehicles","delete","Excluir Veículos","Excluir veículos","","6986527930417ef399f6af61","2026-02-06T20:43:37.083000","2026-02-06T21:11:27.576000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.create","","orders","create","Criar Ordens de Serviço","Criar novas ordens de serviço","","6986527930417ef399f6af63","2026-02-06T20:43:37.083000","2026-02-06T21:11:55.601000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.read","","orders","read","Visualizar Ordens de Serviço","Visualizar lista e detalhes de ordens de serviço","","6986527930417ef399f6af64","2026-02-06T20:43:37.083000","2026-02-06T21:12:41.804000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.update","","orders","update","Atualizar Ordens de Serviço","Editar ordens de serviço","","6986527930417ef399f6af65","2026-02-06T20:43:37.083000","2026-02-06T21:12:40.557000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.delete","","orders","delete","Excluir Ordens de Serviço","Excluir ordens de serviço","","6986527930417ef399f6af66","2026-02-06T20:43:37.083000","2026-02-06T21:12:39.355000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.finish","","orders","update","Finalizar Ordens de Serviço","Marcar ordens de serviço como finalizadas","","6986527930417ef399f6af68","2026-02-06T20:43:37.083000","2026-02-06T21:12:30.877000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
